Id,HGNC approved symbol,Status of entry,HGNC ID,Alternative_names,HGNC approved name,Entrez gene ID,HGNC gene family tag,HGNC family description,Function,PMID for information on function,Target molecule,Target entity,UniProt_ID_target,PMID for information on target,Comment
1,17A,New,#,17A,#,#,#,#,RNA binding,20888417,RNA,pre-mRNA,#,20888417,Splicing shift from full-length to shorter GABAB R2 variant by RNA-RNA duplex with GPR51
2,51A,New,#,51A,#,#,#,#,RNA binding,22996644,RNA,pre-mRNA,#,22996644,Splicing shift from A to variant B by formation RNA-RNA duplex with an intronic sequence of the pre-mRNA SORL1
3,A1BG-AS1,New,37133,FLJ23569,A1BG antisense RNA 1,503538,#,Antisense RNAs,miRNA sponging,"30556161, 34115333",RNA,"miR-216a-5p, miR-485-5p",#,"30556161, 34115333","Acts as molecular sponge of miR-216a-5p, miR-485-5p. Supresses cell prolifiration and invasion."
4,AC005592.2,New,#,AC005592.2,#,#,#,#,#,33622275,#,#,#,33622275,Positively regulates the expression of OLFM4
5,AC016747.3,New,#,AC016747.3,#,#,#,#,#,#,#,#,,#,#
6,AC091729,New,#,AC091729,#,#,#,#,Splicing factor recruitment,32039035,Protein,SRSF2,SRSF2_HUMAN,32039035,Regulates SRSF2 splicing factor to play a carcinogenic role.
7,AIRN,New,34515,"AIR, NCRNA00088, IGF2RAS, IGF2R-AS1",antisense of IGF2R non-protein coding RNA,100271873,#,Long non-coding RNAs with non-systematic symbols,"Histone modifier recruitment, Transcription machinery interference","29685978, 18988810","DNA, Protein",EHMT2,EHMT2_HUMAN,"29685978, 18988810","Recruits PRC2 to distal genes Slc22a2 and Slc22a3. Recruits G9a and promotes H3K9me3 histone modification causing gene silencing. Transcription  of Airn in cis reduct accessibility of its overlapping protein-coding gene Igf2r, causing the displacement of Pol II from the overlapping promoter."
8,Antisense transcript at each Pcdhα first exon,New,#,Antisense transcript at each Pcdhα first exon,#,#,#,#,Promoter switching,30955885,#,#,#,30955885,Transription of antisence RNA promotes demethylation of the CTCF binding sites proximal to each promoter and regulates promoter choice for Pcdhα transcription.
9,ARAP1-AS1,New,39993,#,ARAP1 antisense RNA 1,100874075,#,Antisense RNAs,miRNA sponging,32110804,RNA,miR-2110,#,32110804,ARAP1-AS1 functions as a ceRNA for miR-2110 to upregulate HDAC2.
10,BAALC-AS1,New,50461,"lncFZD6, FZD6-DT",BAALC antisense RNA 1,100499183,#,Antisense RNAs,Chromatin remodeler recruitment,29535420,Protein,SMARCA4,SMCA4_HUMAN,29535420,"LncFZD6 interacts with BRG1-embedded SWI/SNF complex and recruits it to FZD6 promoter, therefore activating its transcription."
11,BLACAT1,New,48597,"linc-UBC1, LINC00912, onco-lncRNA-30",BLACAT1 overlapping LEMD1 locus,101669762,#,#,"Histone modifier recruitment, miRNA sponging","28885863, 23688781","RNA, Protein","miR-144, EZH2",EZH2_HUMAN,"28885863, 23688781","Acts as molecular sponge of miR-144. Regulates expression of genes in trans via binding PRC2. Regulates proliferation, tumorigenicity and metastatic potential of bladder cancer cells."
12,BlackMamba,New,#,BlackMamba,#,#,#,#,Chromatin remodeler recruitment,32123306,Protein,HELLS,HELLS_HUMAN,32123306,"BlackMamba interacts with the DNA helicase HELLS controlling its recruitment to the promoter regions, therefore controling the neoplastic phenotype of ALK - anaplastic large cell lymphoma"
13,BOLA3-DT,New,42922,BOLA3-AS1,BOLA3 divergent transcript,100507171,#,Divergent transcripts,#,#,#,#,,#,#
14,Braveheart,New,#,Braveheart,#,#,#,#,TF recruitment,"28095922, 27716479",Protein,CNBP,CNBP_HUMAN,"28095922, 27716479",Regulator of cardiac lineage specification and differentiation via binding transcription factor CNBP.
15,CASC15,New,28245,"LINC00340, lnc-SOX4-1",cancer susceptibility 15,401237,#,Long non-coding RNAs with non-systematic symbols,miRNA sponging,31695430,RNA,miR-221,#,31695430,CASC15 inhibits ovarian cancer progression through regulation of miR-221/ARID1A axis.
16,CCAT1,New,45128,"CARLo-5, onco-lncRNA-40",colon cancer associated transcript 1,100507056,#,Antisense RNAs,"Histone modifier recruitment, Modulation of chromatin functions, Chromatin looping",24662484,"DNA, Protein","CTCF, hnRNPK",CTCF_HUMAN,24662484,"Regulates MYC transcription and promotes long-range chromatin looping, interacts with CTCF and regulates its binding to chromatin"
17,CD27-AS1,New,43896,#,CD27 antisense RNA 1,678655,#,Antisense RNAs,miRNA sponging,34006845,RNA,miR-224-5p,#,34006845,Acts as a molecular sponge of miR-224-5p
18,CDKN2B-AS1,New,34341,"ANRIL, RP11-145E5.4, NCRNA00089, p15AS, CDKN2B-AS, PCAT12",CDKN2B antisense RNA 1,100048912,#,Antisense RNAs,"Chromatin remodeler recruitment, Histone modifier recruitment","29685978, 33353982, 30870006",Protein,YY1; BCL11,"TYY1_HUMAN, BC11A_HUMAN, BC11B_HUMAN","29685978, 33353982",Recruits Polycomb repressive complexes to promoters of CDKN2A and CDKN2B to inhibit their expression in cis and to regulate distant genes in trans. Interacts with BCL11A and mediates MAP4K1 transcription.
19,CHASERR,New,48626,LINC01578,CHD2 adjacent suppressive regulatory RNA,100507217,#,Long non-coding RNAs with non-systematic symbols,#,31704914,#,#,#,31704914,Represses Chd2 expression and broadly regulates CHD2 targets
20,KCNQ1OT1,New,6295,"KvDMR1, KCNQ1-AS2, KvLQT1-AS, LIT1, NCRNA00012",KCNQ1 opposite strand/antisense transcript 1,10984,#,Long non-coding RNAs with non-systematic symbols,"Chromatin remodeler recruitment, Histone modifier recruitment, DNA modifier recruitment","20573698, 18951091","Protein, DNA","EZH2, SUZ12, EHMT2, DNMT1","EZH2_HUMAN, SUZ12_HUMAN, EHMT2_HUMAN, DNMT1_HUMAN","20573698, 18951091","Involved in epigenetic silencing by recruiting EHMT2, PRCs, Dnmt1."
21,CIrcSMARCA5,New,#,#,#,#,#,#,Splicing factor recruitment,29415469,Protein,SRSF1,SRSF1_HUMAN,29415469,Interacts with SRSF1 and promotion of the anti-angiogenic splicing isoforms of VEGF-A
22,DALIR,New,51429,DALI,DNMT1-associated long intergenic non-coding RNA,104940698,#,Long non-coding RNAs with non-systematic symbols,DNA modifier recruitment,25415054,Protein,DNMT1,DNMT1_HUMAN,25415054,Interacts with the DNMT1 DNA methyltransferase and regulates DNA methylation status of CpG island-associated promoters in trans gene activation.
23,DANCR,New,28964,"ANCR, AGU2, lncRNA-ANCR",differentiation antagonizing non-protein coding RNA,57291,#,Long non-coding RNAs with non-systematic symbols,Histone modifier recruitment,31383847,Protein,EZH2,EZH2_HUMAN,31383847,Binds EZH2 and promotes H3K27me3 histone modification. Regulates proliferation and migration-related genes.
24,DDX11-AS1,New,44176,"CONCR, SCAT4",DDX11 antisense RNA 1,100506660,#,Antisense RNAs,Modulation of protein functions,27477908,Protein,DDX11,DDX11_HUMAN,27477908,Modulates abiity of DDX11 to function at DNA replication fork. Increases its ATPase activity and binding to DNA replicating regions
25,DGCR5,New,16757,"NCRNA00037, LINC00037, X91348, DGS-A, POM121L5P, DGS-B, DGCR9, DGCR10",DiGeorge syndrome critical region gene 5,26220,#,Long non-coding RNAs with non-systematic symbols,Chromatin remodeler recruitment,30238982,Protein,ARID1A,ARI1A_HUMAN,30238982,DGCR5 interacts with ARID1A to promote P21 transcription.
