Id;HGNC_symbol;Status;HGNC_ID;Alternative_names;HGNC_name;GeneID;GeneTag;GeneDesc;Function;PMID_function;Target;Specific_target;UniProt_ID_target;PMID_target;Comment;;;
1;TARID;New;50506;#;TCF21 antisense RNA inducing promoter demethylation;100507308;#;Long non-coding RNAs with non-systematic symbols;Recruitment of protein;30617255;DNA, Protein;GADD45A;GA45A_HUMAN;30617255;Recruits GADD45A and promotes demethylation of the hypermethylated TCF21 promoter in multiple types of cancer;;;
2;GNAS-AS1;New;24872;SANG, NESP-AS, NESPAS, GNAS1AS, NCRNA00075, GNASAS, GNAS-AS;GNAS antisense RNA 1;149775;#;Antisense RNAs;miRNA sponge, mRNA binding;33212147, 28805067;RNA;mirR-615-3p, miR-4319, miR-291a-3p, miR-196a-5p, miR-23a-3p, miR-24-3p, miR-let-7a-5p, mRNA;#;33212147, 28805067;Acts as molecular sponge of mirR-615-3p, miR-4319, miR-291a-3p, miR-196a-5p, miR-23a-3p, miR-24-3p and miR-let-7a-5p and involved in osteoartritis pathogenesis. Regulate expression of genes involved in peroxisomal activities via mRNA binding.;;;
3;UMLILO;New;51824;#;upstream master lncRNA of the inflammatory chemokine locus;114515515;#;Long non-coding RNAs with non-systematic symbols;Recruitment of protein;30531872;Protein;WDR5, MLL1;WDR5_HUMAN, KMT2A_HUMAN;30531872;Activates transcription of CXCL chemokines. Primes transcription of immune genes during trained immunity;;;
4;DNM3OS;New;41228;#;DNM3 opposite strand/antisense RNA;100628315;#;Long non-coding RNAs with non-systematic symbols;miRNA sponging, Protein binding;33472090, 31992960, 31526393, 32463958, 31694982, 30770102;RNA, Protein;miR-126, miR-134-5p, miR-204-5p, miR-29a, miR-361, KDM6B, Snail;KDM6B_HUMAN, SNAI1_HUMAN;33472090, 31992960, 31526393, 32463958, 31694982, 30770102;Acts as a molecular sponge of miR-126, miR-134-5p, miR-204-5p, miR-29a, miR-361. Interacts with KDM6B and provides reduction of H3K27me3 which is accelerate growth and metastasis. Binds transcription factor Snail, therefore regulates invasion and migration abilities of cancer cells.;;;
5;LNCPRESS1;New;52746;#;lncRNA p53 regulated and ESC associated 1;101927721;#;Long non-coding RNAs with non-systematic symbols;Protein sequestration;27912097;Protein;Sirtuin 6;SIR6_HUMAN;27912097;Disrupt SIRT6 mediated de-acetylation of H3K56 and regulates ESC differentiation by safeguard pluripotency;;;
6;TP53COR1;New;43652;lincRNAp21, linc-p21, lincRNA-p21, Trp53cor1;tumor protein p53 pathway corepressor 1;102800311;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers, Protein binding;28425074;RNA, Protein;hnRNP-K, DNMT1;DNMT1_HUMAN;28425074;Regulates reprogramming. Interacts with hnRNP-K and DNMT1, thereby block somatic cell reprogramming by CpG methylation at the promoters of a subset of genes and H3K9me3 maintenance at the promoters of pluripotency genes.;;;
7;DALIR;New;51429;DALI;DNMT1-associated long intergenic non-coding RNA;104940698;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers, Protein binding;25415054;Protein;DNMT1;DNMT1_HUMAN;25415054;Interacts with the DNMT1 DNA methyltransferase and regulates DNA methylation status of CpG island-associated promoters in trans gene activation.;;;
8;RASSF1-AS1;New;49091;ANRASSF1;RASSF1 antisense RNA 1;102060282;#;Antisense RNAs;Recruitment of protein;23990798;DNA, Protein;PRC2;#;23990798;Recruit PRC2 and promotes silencing of tumor-supressor RASSF1A;;;
9;CHASERR;New;48626;LINC01578;CHD2 adjacent suppressive regulatory RNA;100507217;#;Long non-coding RNAs with non-systematic symbols;Protein binding;31704914;Protein;CHD2;CHD2_HUMAN;31704914;Represses Chd2 expression and broadly regulates CHD2 targets;;;
10;CCAT1;New;45128;CARLo-5, onco-lncRNA-40;colon cancer associated transcript 1;100507056;#;Antisense RNAs;Chromatin looping;24662484;Protein, DNA;CTCF, hnRNPK;CTCF_HUMAN;24662484;Regulates MYC transcription and promotes long-range chromatin looping;;;
11;LINC01133;New;49447;lncRNA-PAGBC;long intergenic non-protein coding RNA 1133;100505633;LINC;Long intergenic non-protein coding RNAs;Protein sequestration;27443606;Protein;SRSF6;SRSF6_HUMAN;27443606;Provides titration of SRSF6 splicing factor from its target genes;;;
12;PPP1R10;New;9284;PNUTS, FB19, CAT53, p99;protein phosphatase 1 regulatory subunit 10;5514;PPP1R;Protein phosphatase 1 regulatory subunits;miRNA sequestration;28825698;RNA;miR-205;#;28825698;Sequesters miR-205, thereby causing upregulation of ZEB1 and ZEB2 mRNAs and promotes epithelial–mesenchymal transition;;;
13;TINCR;New;14607;FLJ90734, NCRNA00036, LINC00036, onco-lncRNA-16;TINCR ubiquitin domain containing;257000;#;#;Protein binding;23201690;Protein;STAU1;STAU1_HUMAN;23201690;Mediates stabilization  and expression of differentiation associated mRNA;;;
14;UCHL1-DT;New;40600;AS-Uchl1, UCHL1-AS1;UCHL1 divergent transcript;101410542;#;Divergent transcripts;mRNA binding;23064229;mRNA;Uchl1 mRNA;;23064229;Activates Uchl1mRNA translation;;;
15;FOXD3-AS1;New;40241;pasFOXD3, FAST;FOXD3 antisense RNA 1;100996301;#;Antisense RNAs;Protein sequestration;32259487;Protein;?-TrCP;FBW1A_HUMAN;32259487;Interacts with ?-TrCP to prevent ?-catenin degradation, activates WNT signaling;;;
